candle_begin_time,open,high,low,close,volume
2018/5/15 0:00,8674.33,8761.76,8663.17,8696.66,172152
2018/5/15 1:00,8694.66,8728.17,8662.17,8701.85,122668
2018/5/15 2:00,8699.98,8741.04,8642.36,8673.34,181228
2018/5/15 3:00,8673.19,8717.7,8638.95,8707.1,193166
2018/5/15 4:00,8710.92,8737.36,8684.2,8699.16,155912
2018/5/15 5:00,8697.49,8750,8684.62,8717.42,141528
2018/5/15 6:00,8710.22,8786,8704.94,8731.78,164248
2018/5/15 7:00,8730.16,8756.27,8710,8727.1,98864
2018/5/15 8:00,8725,8727.8,8648.01,8717.64,155174
2018/5/15 9:00,8714.82,8734.74,8690.69,8709.25,96292
2018/5/15 10:00,8705.19,8838.45,8696.16,8769.5,263546
2018/5/15 11:00,8771.4,8790.17,8728.56,8762.44,94368
2018/5/15 12:00,8763.05,8780,8735,8756.07,95788
2018/5/15 13:00,8754.53,8754.54,8683.58,8731.04,220876
2018/5/15 14:00,8730.24,8738.96,8496.69,8503.03,522386
2018/5/15 15:00,8504.75,8537.71,8467.84,8505.29,250184
2018/5/15 16:00,8507.35,8579.43,8494.39,8531.6,172226
2018/5/15 17:00,8529.56,8571.22,8505,8551.77,238372
2018/5/15 18:00,8545.73,8545.98,8424.8,8520.01,264968
2018/5/15 19:00,8517.37,8579.98,8439.23,8554.5,214212
2018/5/15 20:00,8547.09,8549.9,8489.27,8520.37,197250
2018/5/15 21:00,8520.37,8547.6,8467.48,8467.48,187582
2018/5/15 22:00,8468.35,8555.95,8401,8458.84,281708
2018/5/15 23:00,8458.94,8503.05,8442.15,8472.82,133898
2018/5/16 0:00,8469.3,8495,8430.27,8469.57,124180
2018/5/16 1:00,8471.81,8474.81,8290.12,8325,319664
2018/5/16 2:00,8325,8332.28,8079.21,8129.59,415576
2018/5/16 3:00,8129.6,8207.31,8125.72,8162.5,196244
2018/5/16 4:00,8163.61,8231.87,8159.72,8202.4,170986
2018/5/16 5:00,8202.4,8231.55,8154.5,8191.28,171638
2018/5/16 6:00,8193.87,8242.24,8168.34,8224.27,184068
2018/5/16 7:00,8228.5,8230.14,8192.23,8201.15,123762
2018/5/16 8:00,8202.84,8230.41,8171.81,8183.54,151872
2018/5/16 9:00,8183.54,8240.04,8183.54,8213.54,138444
2018/5/16 10:00,8215.42,8400,8215.42,8349.02,387538
2018/5/16 11:00,8353.58,8416.57,8341.89,8349.8,171632
2018/5/16 12:00,8346.67,8372.57,8339.39,8354.22,125722
2018/5/16 13:00,8354.22,8362.99,8135,8174.29,328010
2018/5/16 14:00,8173.55,8212.18,8160,8205.79,195172
2018/5/16 15:00,8205.18,8399.97,8198.11,8270.95,387022
2018/5/16 16:00,8270.94,8314.73,8204.36,8248.34,284150
2018/5/16 17:00,8243.57,8338.63,8231.61,8282.09,267920
2018/5/16 18:00,8282.09,8331.77,8266.02,8268.55,128652
2018/5/16 19:00,8265.09,8364.92,8218.04,8218.04,138656
2018/5/16 20:00,8218.42,8310.39,8209.78,8294.81,137112
2018/5/16 21:00,8298.38,8317.28,8258,8289.58,205904
2018/5/16 22:00,8289.79,8367.68,8271.5,8282.94,129412
2018/5/16 23:00,8278.06,8363.23,8269.71,8324.23,118590
2018/5/17 0:00,8335.17,8397.18,8310,8339.23,186912
2018/5/17 1:00,8340.5,8370,8309.71,8361.86,141792
2018/5/17 2:00,8364.87,8390.14,8339.22,8354.07,233980
2018/5/17 3:00,8358.33,8461.13,8318.51,8342.01,216426
2018/5/17 4:00,8342.18,8369.18,8310,8310,108140
2018/5/17 5:00,8310,8368,8270.32,8349.96,160302
2018/5/17 6:00,8350.49,8365.34,8319.52,8323.6,107472
2018/5/17 7:00,8327.74,8337.34,8220,8239.34,170142
2018/5/17 8:00,8239.43,8278.83,8230.35,8264.01,132466
2018/5/17 9:00,8267.74,8322.4,8261.82,8281.82,145758
2018/5/17 10:00,8281.82,8317.94,8251.81,8297.19,112134
2018/5/17 11:00,8297.95,8315,8274.76,8293.38,85674
2018/5/17 12:00,8300.5,8330,8240.2,8269.85,171730
2018/5/17 13:00,8269.85,8298.8,8262.89,8294.62,86670
2018/5/17 14:00,8294.27,8374.22,8285.81,8322.25,127364
2018/5/17 15:00,8317.2,8331.03,8288,8303.53,112912
2018/5/17 16:00,8298.67,8318,8226.45,8274.31,196398
2018/5/17 17:00,8275.63,8279.61,8227.45,8265.33,99796
2018/5/17 18:00,8264.25,8277.27,8130,8169.6,206170
2018/5/17 19:00,8171.43,8204.5,8154.74,8182.21,126952
2018/5/17 20:00,8182.31,8243.54,8182.31,8206.79,81376
2018/5/17 21:00,8206.1,8215.44,8159.06,8159.31,77028
2018/5/17 22:00,8159.36,8159.36,7984.01,8073.69,390542
2018/5/17 23:00,8076.49,8093.91,8010.76,8061.51,147566
2018/5/18 0:00,8072.02,8089.24,7932.24,7980.48,66894
2018/5/18 1:00,7983.4,8037.77,7962.91,8017.45,60730
2018/5/18 2:00,8018.08,8039.98,7981.52,8028.97,32976
2018/5/18 3:00,8028.97,8043.01,8005,8026.72,35292
2018/5/18 4:00,8025,8075.35,8025,8035.39,34618
2018/5/18 5:00,8035.39,8068.67,8014.98,8068.67,26916
2018/5/18 6:00,8066.8,8068.28,7981.62,8014.38,30606
2018/5/18 7:00,8008.2,8192,7997.81,8127.93,119602
2018/5/18 8:00,8130.49,8183.55,8129.14,8170.44,262534
2018/5/18 9:00,8169.55,8177,8125.63,8147.04,208240
2018/5/18 10:00,8148.72,8189.72,8126.7,8185,185334
2018/5/18 11:00,8185,8185,8123.18,8154.19,199452
2018/5/18 12:00,8159.5,8188,8136.23,8147.53,95936
2018/5/18 13:00,8154.21,8174.34,8110,8143.74,144950
2018/5/18 14:00,8141.85,8141.85,8086.86,8132.46,112072
2018/5/18 15:00,8133.7,8205.15,8118.56,8164.5,162312
2018/5/18 16:00,8163.24,8190.5,8125.15,8162,94560
2018/5/18 17:00,8166.69,8184.67,8138.34,8149.83,77268
2018/5/18 18:00,8147.43,8273.91,8124.06,8260.54,127448
2018/5/18 19:00,8260.04,8324,8243.14,8281.03,177158
2018/5/18 20:00,8278.73,8301.24,8254.93,8276.86,75096
2018/5/18 21:00,8278.17,8313.82,8264.91,8269.33,84064
2018/5/18 22:00,8270.59,8296.5,8242.45,8271.45,71636
2018/5/18 23:00,8273.31,8302.43,8265.11,8290,71230
2018/5/19 0:00,8290,8303.3,8244,8258,133448
2018/5/19 1:00,8255.68,8284.83,8212.22,8237.19,93512
2018/5/19 2:00,8241.34,8267.25,8224.04,8241.5,91456
2018/5/19 3:00,8237.87,8306.08,8226.78,8275.41,125666
2018/5/19 4:00,8276.6,8298.18,8262.22,8271.19,78602
2018/5/19 5:00,8271.05,8290.34,8255.27,8282.61,80194
2018/5/19 6:00,8280.71,8293.09,8264.06,8264.93,114520
2018/5/19 7:00,8264.93,8277.5,8187.51,8216.78,142042
2018/5/19 8:00,8219.05,8262.39,8192.7,8260.71,102286
2018/5/19 9:00,8257.79,8270.06,8233,8247.69,91146
2018/5/19 10:00,8249.36,8300,8240.54,8292.97,131138
2018/5/19 11:00,8285.52,8388,8276.01,8380.61,112582
2018/5/19 12:00,8386.99,8432.57,8360,8383.84,145470
2018/5/19 13:00,8383.8,8404.58,8333.96,8345.51,137020
2018/5/19 14:00,8344.87,8367.92,8334.39,8347.73,74382
2018/5/19 15:00,8346.84,8366.19,8322,8354.45,86636
2018/5/19 16:00,8353.73,8361.87,8316,8336.1,59702
2018/5/19 17:00,8330.91,8355,8311,8354.91,72118
2018/5/19 18:00,8351.47,8362,8329.07,8338.63,65184
2018/5/19 19:00,8341.49,8356.02,8314,8351.02,75896
2018/5/19 20:00,8355.76,8357.54,8303.33,8303.33,43338
2018/5/19 21:00,8301,8301.02,8217.44,8240.16,146426
2018/5/19 22:00,8240.19,8282.26,8213.02,8261.68,89604
2018/5/19 23:00,8261.68,8289.34,8240,8267.22,62424
2018/5/20 0:00,8265.05,8274.76,8227.56,8240.27,72270
